,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,MEMORIAL HOSPITAL JACKSONVILLE,Leadership | HCA Florida Memorial Hospital,https://www.hcafloridahealthcare.com/locations/memorial-hospital/about-us/leadership,"Unusual behavior notice: Webpage: 
 Failed to goto https www hcafloridahealthcare com locations memorial hospital about us leadership TimeoutError Navigation timeout of 30000 ms exceeded.",Jackson Memorial Hospital | 24/7 Emergency Services in Miami,https://jacksonhealth.org/locations/jackson-memorial-hospital/,none found,"Irmatine Snell Bealyer, DHA, MHA, RDN, LDN - Healthcare ...",https://www.linkedin.com/in/irmatine-snell-bealyer-dha-mha-rdn-ldn-2a1482107,"Unusual behavior notice: Webpage: 
 Failed to goto https://www.linkedin.com/in/irmatine-snell-bealyer-dha-mha-rdn-ldn-2a1482107 TimeoutError Navigation timeout of 30000 ms exceeded."
1,ST PETERSBURG GENERAL HOSPITAL,Johns Hopkins Health System Fiscal Year 2019 Community Benefits ...,https://www.hopkinsmedicine.org/-/media/migration/all-childrens-hospital/documents/community/jhach-fy-2019-hospital-community-benefit-narrative_final.pdf,none found,Tampa General Hospital Executive Biographies,https://www.tgh.org/about-tgh/tampa-general-hospital-leadership/tampa-general-hospital-executive-biographies,none found,Our Leaders | Essentia Health,https://www.essentiahealth.org/about/our-leaders,"Cathy Cantor MD, Chief Population Health Officer"
2,LARKIN COMMUNITY HOSPITAL,About | Larkin Health,https://larkinhealth.com/en/about/,none found,231+ Black healthcare leaders to know | 2024,https://www.beckershospitalreview.com/lists/231-black-leaders-in-healthcare-2024.html,"Deneen Richmond, President of Luminis Health Doctors Community Medical Center for Chief Quality and Population Health Officer for Luminis Health",Larkin Health System Integrated Healthcare Delivery System,https://larkinhealth.com/en/,none found
3,CORAL GABLES HOSPITAL,Coral Gables Hospital,https://www.coralgableshospital.org/,none found,Who We Are | Broward Health,https://www.browardhealth.org/who-we-are,"Unusual behavior notice: Webpage: 
 Verifying you are human. This may take a few seconds. www.browardhealth.org needs to review the security of your connection before proceeding..","Coral Gables Hospital CEO, killed in murder-suicide, remembered ...",https://www.chiefhealthcareexecutive.com/view/coral-gables-hospital-ceo-killed-in-murder-suicide-remembered-as-a-bright-light-,none found
4,PALMETTO GENERAL HOSPITAL,Palmetto General Hospital,https://www.palmettogeneral.org/,none found,Dr. Pablo Alonso - Cano Health,https://canohealth.com/people/2-dr-pablo-alonso/,"Dr. Pablo Alonso, Chief Medical Officer",Steward Health Care Adds Joe Deschryver As South Regional ...,https://www.palmettogeneral.org/domain-specific/720191/newsroom/2021-06-21/steward-health-care-adds-joe-deschryver-south-regional-president,none found
5,NORTHWEST MEDICAL CENTER,Leadership | UW Medicine,https://www.uwmedicine.org/about/leadership,"Pranika Laing – Interim Associate Vice President for UW Medicine Primary Care and Population Health, Michael Myint, MD – Chief Population Health Officer, UW Medicine",Northwest Public Health & Primary Care Leadership Institute ...,https://www.nwcphp.org/training/northwest-public-health-leadership-institute,"Antoinette Angulo, MPH, Program Director, Nikki Dettmar, MSIS, MS, Program Manager, Yolanda Fong, MN, Faculty Facilitator, Gary Goldbaum, MD, MPH, Faculty Mentor, Jennifer Jones-Vanderleest, MD, MSPH, Faculty Facilitator, Carolina Lucero, MSW, Faculty Mentor, Nicole Sadow-Hasenberg, MPH, Faculty Facilitator, Kevin deVoss, MA, Instructional Support",Management Team | LifeBridge Health,https://www.lifebridgehealth.org/about/management-team,"Sharon McClernan, Vice President Population Health"
6,MEDICAL CENTER OF TRINITY,Sitemap,https://www.trinity-health.org/sitemap.aspx,none found,"Leadership | St. Joseph's Health Syracuse, New York (NY) Hospitals",https://www.sjhsyr.org/about-us/leadership,"Kristen M Mucitelli, VP Population Health Management",Department of Population Health | Dell Medical School,https://dellmed.utexas.edu/units/department-of-population-health,"Navkiran “Kiran” K. Shokar, M.D., MPH, Department Chair"
7,BROWARD HEALTH IMPERIAL POINT,Who We Are | Broward Health,https://www.browardhealth.org/who-we-are,none found,Psychiatry | Broward Health,https://gme.browardhealth.org/Program-Category/Residency/Program/Psychiatry,none found,Broward Health Welcomes New Leader To Executive Team,https://www.browardhealth.org/news/news-articles/032624-broward-health-welcomes-new-leader-to-executive-team,none found
8,NORTH FLORIDA REGIONAL MEDICAL CENTER,UF Health Leadership - About UF Health - UF Health,https://ufhealth.org/about-uf-health/uf-health-leadership,none found,Leadership | HCA Florida North Florida Hospital,https://www.hcafloridahealthcare.com/locations/north-florida-hospital/about-us/leadership,none found,Leadership | Conroe,https://www.hcahoustonhealthcare.com/locations/conroe/about-us/leadership,none found
9,MEMORIAL HOSPITAL OF TAMPA,Jackson Memorial Hospital | 24/7 Emergency Services in Miami,https://jacksonhealth.org/locations/jackson-memorial-hospital/,none found,Johns Hopkins Health System Fiscal Year 2019 Community Benefits ...,https://www.hopkinsmedicine.org/-/media/migration/all-childrens-hospital/documents/community/jhach-fy-2019-hospital-community-benefit-narrative_final.pdf,none found,Leadership | HCA Florida Memorial Hospital,https://www.hcafloridahealthcare.com/locations/memorial-hospital/about-us/leadership,none found
