,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,Leadership: Meet MedStar Health Leaders | MedStar Health,https://www.medstarhealth.org/about/medstar-health-leadership,none found,In the News | Health Justice Alliance | Georgetown Law,https://www.law.georgetown.edu/health-justice-alliance/about-us/in-the-news/,"Loral Patchen, Medical Champion 
Roxana Richardson, MLP Director 
none found",About Our Hospital | MedStar Georgetown University Hospital ...,https://www.medstarhealth.org/locations/medstar-georgetown-university-hospital/about-our-hospital,none found
1,SIBLEY MEMORIAL HOSPITAL,Nursing Leadership | Sibley Memorial Hospital | Johns Hopkins ...,https://www.hopkinsmedicine.org/sibley-memorial-hospital/nursing/nurse-leadership,none found,Year in Review 2021-2022,https://publichealth.jhu.edu/sites/default/files/2022-11/hpm-year-in-review5-cha11y.pdf,none found,Sibley Memorial Hospital Leadership | Johns Hopkins Medicine,https://www.hopkinsmedicine.org/about/leadership/sibley,none found
2,UNITED MEDICAL CENTER,Department of Population Health | NYU Langone Health,https://med.nyu.edu/departments-institutes/population-health/,none found,Johns Hopkins Bloomberg School of Public Health,https://publichealth.jhu.edu/,none found,Leadership Development for Physicians in Academic Health Centers,https://www.hsph.harvard.edu/ecpe/programs/leadership-development-for-physicians-in-academic-health-centers/,none found
3,MEDSTAR WASHINGTON HOSPITAL CENTER,Leadership Team Members - MedStar Washington Hospital Center,https://www.medstarhealth.org/locations/medstar-washington-hospital-center/leadership,none found,In the News | Health Justice Alliance | Georgetown Law,https://www.law.georgetown.edu/health-justice-alliance/about-us/in-the-news/,"Loral Patchen, Medical Champion 
Roxana Richardson, MLP Director 
none found",Leadership: Meet MedStar Health Leaders | MedStar Health,https://www.medstarhealth.org/about/medstar-health-leadership,none found
4,UF HEALTH JACKSONVILLE,UF Health Leadership - About UF Health - UF Health,https://ufhealth.org/about-uf-health/uf-health-leadership,none found,News - UF Health Jacksonville,https://ufhealthjax.org/news,none found,UF Health leadership recognizes trailblazing women in medicine ...,https://facultyadvancement.med.jax.ufl.edu/2022/09/30/uf-health-leadership-recognizes-trailblazing-women-in-medicine-and-health-care/,none found
5,BETHESDA HOSPITAL EAST,180 chief medical officers to know | 2024,https://www.beckershospitalreview.com/lists/180-hospital-and-health-system-chief-medical-officers-to-know-2024.html,"Joshua Adler, MD. Executive Vice President and Chief Clinical Officer at UCSF Health (San Francisco)
Joseph Chang, MD. Chief Medical Officer of Parkland Health (Dallas)",Public Health Foundation Board - UNC Gillings School of Global ...,https://sph.unc.edu/gift/public-health-foundation-board/,none found,Bethesda Hospital East | Baptist Health,https://baptisthealth.net/locations/hospitals/bethesda-hospital-east,none found
6,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,Orlando Health Leadership Team,https://www.orlandohealth.com/about-us/leadership,none found,Orlando Health,https://careers.orlandohealth.com/,none found,Brandon Burket,https://www.orlandohealth.com/about-us/leadership/brandon-burket,"Brandon Burket, Vice President, Value-Based Care and Population Health"
7,ADVENTHEALTH ORLANDO,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,"Apply for VP Home Health Jobs in Orlando, FL | AdventHealth",https://jobs.adventhealth.com/orlando-fl/vp-home-health/C1BD9C53B2794B43970E905A03D2D80B/job/,none found,AdventHealth | A Leader in Whole-Person Health Care,https://www.adventhealth.com/,none found
8,BAPTIST HOSPITAL OF MIAMI,Physician Leadership | Baptist Health Medical Group,https://baptisthealth.net/healthcare-professionals/for-physicians/baptist-health-medical-group/about-us/physician-leadership,"Jonathan Adam Fialkow, MD, Chief Medical Executive, Value, Primary Care and Population Health",System Leadership - Baptist Health,https://www.baptisthealth.com/about/system-leadership,none found,West Kendall Baptist Hospital's Healthy Hub Among Winners in the ...,https://baptisthealth.net/newsroom/press-release/westkendallbaptisthospitalshealthyhubamongwinnersinthegehealthycitiesleadershipacademyopeninnovation,"Unable to generate because of Timeout of 600.0s exceeded, last exception: 503 failed to connect to all addresses; last error: UNKNOWN: ipv4:142.250.190.138:443: tcp handshaker shutdown"
9,LEE MEMORIAL HOSPITAL,Lee Health Announces Organizational Leadership Changes | Lee ...,https://www.leehealth.org/about-us/media/press-releases/lee-health-announces-organizational-leadership-changes,"- Kris Fay, Chief Officer Population Health and Physician Services
- Dr. Venkat Prasad, Chief Medical Officer Population Health and Physician Services",Leadership | OhioHealth,https://www.ohiohealth.com/about-us/leadership,none found,Our Leadership | About Us | Lee Health,https://www.leehealth.org/about-us/our-leadership,none found
